cycle,first(math_TB).S,first(math_TB).I,first(math_TB).Le,first(math_TB).Lf,first(math_TB).T,first(math_TB).K,first(math_TB).R1,first(math_TB).R2
0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,984.3901902084651,1.5217961814775072,0.37747724237552494,0.13049701382814183,0.00912539453144496,0.02737618359433489,0.3330572697178064,0.09912418741601373
2,968.3412330069096,2.347020784391486,0.6282094533038802,0.2984031020116466,0.01859006483336443,0.0557701945000933,1.0743981179386002,0.3197613446245832
3,951.4632882838052,3.5747970305399264,0.968359729809704,0.49299986817933233,0.03077138006437597,0.09231414019312788,2.2646068254710503,0.6739901266282883
4,933.253057567124,5.351215447789351,1.45979118112168,0.7594388931644236,0.04776060349911235,0.14328181049733704,4.068127885702643,1.2107523469353085
5,913.0656749420258,7.860437516274396,2.1584465701626456,1.1376524833517452,0.07180476125104884,0.2154142837531465,6.731819818973329,2.0035178032658707
6,890.1099162323356,11.31538038988781,3.128333453183662,1.66880947323084,0.10546886354908237,0.316406590647247,10.578505283564603,3.148364667727557
7,863.4777064998483,15.937510582743451,4.4383792332515695,2.397791920289485,0.15161050364353246,0.45483151093059737,15.999828829630143,4.761853818342303
8,832.2264330621821,21.91930989448619,6.1529339172104995,3.3703033917933913,0.21315515812262936,0.6394654743678875,23.432427849949057,6.973936860103887
9,795.5294266782412,29.367490676657205,8.316193408363313,4.6254842837154015,0.29263619408267394,0.8779085822480209,33.30693649789264,9.912778719610909
10,752.8907512913288,38.23429204565386,10.931887018008194,6.184566005172293,0.39150164442324276,1.1745049332697273,45.96625646591664,13.680433471999006
11,704.382625119757,48.25794100051106,13.9432823276535,8.037448417901627,0.5092953408162122,1.5278860224486368,61.56334674012584,18.322424625037463
12,650.8203783783422,58.94444275357144,17.222439808544745,10.131475485110307,0.6429672877190225,1.9289018631570682,79.9674549541122,23.799837783961983
13,593.7745684911936,69.61829880252013,20.578096492490538,12.368392450704436,0.7866661744271461,2.3599985232814373,100.71993960631397,29.976172501879194
14,535.3666332493311,79.54190804697758,23.785408543561594,14.614205734059755,0.9322889547659319,2.7968668642977965,123.0716809749335,36.628476480635
15,477.894934637178,88.06476020008128,26.629651273562644,16.72152403491934,1.0707654337206602,3.21229630116198,146.10061188510238,43.48232496580433
16,423.42705292866873,94.74346984076077,28.9474091529377,18.557412231407348,1.1936869224437776,3.5810607673313317,168.86939439041052,50.258748330479364
17,373.50319646769213,99.39052437625357,30.650000404180137,20.026553891467888,1.2947068715968375,3.8841206147905116,190.56738171798878,56.716482654163265
18,329.0229185938986,102.04933887234984,31.723979458558638,21.082193606144948,1.3702813551453634,4.110844065436091,210.59693231590626,62.67765842735303
19,290.29557511239,102.92480717369568,32.21444272572206,21.723714758334264,1.4196568668980114,4.258970600694038,228.59560240979098,68.03440547910438
20,257.18340316841477,102.30516579997175,32.201634813658586,21.985167769410666,1.4443109430879992,4.332932829264001,244.4103138877211,72.74116484753593
21,229.2657273989652,100.4989420117659,31.779582531896082,21.92082509602479,1.4471635591221443,4.341490677366435,258.0477135100773,76.79991473514198
22,205.9796317837536,97.7948938244902,31.040959648197767,21.59241563546726,1.4318231466781066,4.295469440034319,269.62066516287615,80.2442455841893
23,186.72069406841086,94.44237529782902,30.06856255428566,21.060161909842243,1.4020089530016369,4.2060268590049,279.30230292626044,83.1256853947203
24,170.90530793439703,90.645719089971,28.93186523170037,20.377723985702417,1.361182967892873,4.083548903678616,287.29175899012716,85.50349969944246
25,158.00351430388676,86.56649850821448,27.686741553551517,19.5901503867133,1.312361372347559,3.9370841170426756,293.79127220704163,87.43787863304799
26,147.55216042934825,82.3292948929673,26.376807078615276,18.73373167424211,1.258053189229318,3.7741595676879545,298.9924754935752,88.98585580165903
27,139.15634563209255,78.0283771896099,25.035370191834797,17.83684856736678,1.2002760346883439,3.600828104065034,303.06927902136687,90.19919018493026
28,132.48468985647693,73.7339911587739,23.68743240761087,16.921207218488433,1.1406109215775095,3.42183276473253,306.17509600078864,91.12354047642482
29,127.2619004202392,69.49773847845505,22.351477732801303,16.00311495338114,1.0802712408510513,3.240813722553154,308.4427043222134,91.79842390542032
30,123.26063777019564,65.35694004746948,21.040963624590713,15.094629785545882,1.0201716535815377,3.0605149607446114,309.9855620008401,92.25760773834499
31,120.29372787331947,61.33806643241553,19.76551304675332,14.20452416828206,0.9609898973713913,2.882969692114173,310.89981195081396,92.52970593774202
32,118.20719668004546,57.45938480352607,18.53184394816334,13.339059368702706,0.9032189430542632,2.709656829162788,311.26651173469594,92.63884277818303
33,116.87428074186455,53.73297891708121,17.34448301281754,12.502591590268084,0.8472093529962734,2.541628058988819,311.15382539580963,92.6053051773239
34,116.1904008927326,50.16628130805064,16.206308822704827,11.69803876473171,0.7932028315973074,2.379608494791923,310.61904266084656,92.4461436490612
35,116.0690084895886,46.76323216142741,15.118963167335865,10.927236537900813,0.741358363623625,2.2240750908708757,309.7103684258239,92.1757048886378
36,116.4381858706181,43.52515511592959,14.083161808206789,10.19120825359076,0.6917723587835837,2.0753170763507494,308.4684699577919,91.80609224934257
37,117.23788054573134,40.45141944515754,13.098929155954318,9.49036915955276,0.6444940708924917,1.9334822126774744,306.927792976193,91.34755743339055
38,118.41766255650806,37.53994130316696,12.165775585280754,8.824680728188254,0.5995373519510624,1.798612055853187,305.1176689593657,90.80883004743012
39,119.93490898516816,34.787563702894495,11.282831556664869,8.19376731067777,0.5568895928498679,1.6706687785496037,303.06323994693213,90.1973928413487
40,121.75333489941141,32.190344991812886,10.448949199186872,7.597004397788171,0.5165185179755976,1.549555553926792,300.78622706843936,89.51971043703536
41,123.84180426053119,29.743778144679464,9.662779344944365,7.033585475325288,0.4783773483228676,1.4351320449686031,298.3055670050058,88.78141875148974
42,126.17336676298912,27.44295763331356,8.922830007132802,6.502572723198825,0.44240872615497406,1.3272261784649217,295.63793773753747,87.98748146950503
43,128.72447705043814,25.28270649197144,8.227510802726318,6.002935498797242,0.408547699781081,1.2256430993432421,292.7981918947975,87.14231901630866
44,131.47436137476254,23.25767311228533,7.575166710311958,5.533579567197906,0.37672399469793955,1.130171984093819,289.7997131222376,86.24991461971358
45,134.40450375276245,21.362404999869643,6.964103726440977,5.093369311241749,0.34686374249255075,1.0405912274776523,286.654708303186,85.31390128071013
46,137.49822928127708,19.591405001094365,6.392608366241866,4.681144610429124,0.318890797506187,0.9566723925185608,283.3744462313843,84.3376328069596
47,140.7403667372521,17.93917421189169,5.858962491158901,4.2957336709837195,0.2927277400771689,0.8781832202315064,279.9694514570221,83.3242415050661
48,144.11697612884066,16.400244799407492,5.361454598016957,3.935962784446141,0.2682966416768383,0.8048899250305147,276.44966047930376,82.27668466645953
49,147.61512965924962,14.96920522002778,4.89838843936149,3.6006637622580238,0.24551964949415392,0.7365589484824618,272.8245461979216,81.19778160652432
50,151.22273676770908,13.640719743786823,4.468089643308759,3.2886796194290433,0.2243194345499047,0.672958303649714,269.1032155213902,80.09024271469937
51,154.92840564478325,12.409543751396793,4.068910845934847,2.998868947181845,0.20461953714186157,0.6138586114255844,265.29448422152797,78.95669173259749
52,158.72133498176999,11.270535923882834,3.6992357287956454,2.7301093119143065,0.18634463552840194,0.5590339065852054,261.40693248351045,77.79968228675894
